nombre,nombre_generico,grupo,para_que_sirve,precauciones,efectos_frecuentes,cuando_consultar,nivel_riesgo,fuente_base,url_fuente,fecha_revision,nivel_confianza,pais_contexto
Diazepam,Diazepam,Ansiolítico / Relajante muscular (benzodiazepina),"Trata la ansiedad, el espasmo muscular, las convulsiones febriles y el síndrome de abstinencia alcohólica.",Alto riesgo de dependencia. No combinar con alcohol u otros depresores del SNC. No suspender de forma abrupta.,"Somnolencia intensa, mareos, ataxia, amnesia.","Si tiene dificultad para respirar, pérdida del conocimiento o convulsiones al reducir la dosis.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Zolpidem,Zolpidem tartrato,Hipnótico (no benzodiazepina),Tratamiento a corto plazo del insomnio. Facilita conciliar el sueño.,Solo para uso nocturno. Riesgo de somnambulismo o conductas automatizadas sin recordarlas. No combinar con alcohol.,"Somnolencia residual al día siguiente, mareos, cefalea. Posible dependencia con uso prolongado.","Si tiene episodios de sonambulismo, comportamientos inusuales durante el sueño o dificultad para respirar al dormir.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Gabapentina,Gabapentina,Anticonvulsivante / Analgésico neuropático,"Trata el dolor neuropático (quemante, eléctrico), la epilepsia y la neuralgia postherpética.",Reducir la dosis gradualmente al suspender. Puede causar somnolencia y mareos marcados al inicio. Precaución al manejar.,"Somnolencia, mareos, ataxia, aumento de peso, edema periférico.","Si tiene cambios de humor severos, pensamientos suicidas, dificultad para respirar o reacciones alérgicas.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Pregabalina,Pregabalina,Anticonvulsivante / Analgésico neuropático,"Trata el dolor neuropático, la fibromialgia, la epilepsia y el trastorno de ansiedad generalizada.",No suspender de forma abrupta. Puede causar somnolencia importante al inicio. Tiene potencial de abuso.,"Somnolencia, mareos, aumento de peso, edema, visión borrosa.","Si tiene pensamientos suicidas, reacciones alérgicas severas o angioedema.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Carbamazepina,Carbamazepina,Antiepiléptico,"Trata la epilepsia, la neuralgia del trigémino y el trastorno bipolar.",Requiere controles de hemograma y función hepática. Muchas interacciones farmacológicas. No suspender de forma abrupta.,"Mareos, somnolencia, visión doble, náuseas. Puede causar alteraciones en la sangre.","Si tiene fiebre con lesiones en la piel (síndrome de Stevens-Johnson), hematomas sin causa o ictericia.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Valproato sódico,Valproato sódico,Antiepiléptico / Estabilizador del ánimo,"Trata la epilepsia, el trastorno bipolar y previene las migrañas.",Controles de función hepática regulares. Teratogénico (no usar en embarazo sin evaluación médica). No suspender de forma abrupta.,"Temblor, aumento de peso, caída de cabello, somnolencia, náuseas.","Si tiene dolor abdominal intenso, ictericia, convulsiones más frecuentes o hemorragias inusuales.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Levotiroxina,Levotiroxina sódica,Hormona tiroidea,Reemplaza o complementa la hormona tiroidea en hipotiroidismo.,"Tomar en ayunas, 30-60 min antes del desayuno. No tomar junto con calcio, hierro ni antiácidos. Controles de TSH periódicos.","Bien tolerado a dosis correctas. Con sobredosis: palpitaciones, insomnio, pérdida de peso, nerviosismo.","Si tiene palpitaciones intensas, temblores, pérdida de peso inexplicada o diarrea persistente (posible sobredosis).",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Tramadol,Tramadol,Analgésico opiáceo,Alivia el dolor moderado a intenso cuando los AINEs no son suficientes.,Riesgo de dependencia. No combinar con alcohol ni depresores del SNC. Puede causar convulsiones a dosis altas. No manejar.,"Náuseas, mareos, estreñimiento, somnolencia, sudoración.","Si tiene convulsiones, dificultad para respirar, confusión intensa o pensamientos suicidas.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Alopurinol,Alopurinol,Antigotoso (xantino-oxidasa),Reduce el ácido úrico en sangre para prevenir ataques de gota y cálculos renales por urato.,No tomar durante un ataque agudo de gota (puede empeorarlo). Iniciar con dosis baja y aumentar gradualmente. Beber suficiente agua.,"Erupciones cutáneas, náuseas, diarrea. Raramente: reacciones graves en piel.","Si tiene erupción cutánea severa con ampollas (síndrome de Stevens-Johnson), fiebre o lesiones en mucosas.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Colchicina,Colchicina,Antigotoso,Trata y previene los ataques agudos de gota. También se usa en pericarditis.,La dosis es crítica: poco margen entre dosis terapéutica y tóxica. Precaución en insuficiencia renal o hepática. Interacciones con estatinas y algunos antibióticos.,"Diarrea, náuseas, dolor abdominal. A dosis altas: toxicidad grave.","Si tiene diarrea severa, calambres musculares, debilidad extrema o signos de fallo orgánico.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Aciclovir,Aciclovir,Antiviral,"Trata el herpes simple (labial y genital), la varicela y el herpes zóster. Reduce la duración y gravedad de los brotes.",Hidratarse bien durante el tratamiento. Iniciar lo antes posible al detectar síntomas. Precaución en insuficiencia renal.,"Náuseas, diarrea, dolor de cabeza. Rara vez: confusión o insuficiencia renal.","Si tiene confusión, dificultad para orinar, sarpullido inusual o fiebre alta durante el tratamiento.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Fluconazol,Fluconazol,Antifúngico (triazol),"Trata infecciones por hongos: candidiasis oral, vaginal y otras. Dose única para candidiasis vaginal sin complicaciones.","Puede interactuar con warfarina, estatinas y otros medicamentos. Precaución en problemas hepáticos.","Náuseas, dolor de cabeza, dolor abdominal. Raramente: daño hepático.","Si tiene ictericia, erupciones generalizadas, o los síntomas de la infección no mejoran o empeoran.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Melatonina,Melatonina,Hormona / Suplemento del sueño,Ayuda a regular el ciclo sueño-vigilia. Útil en jet lag y dificultad para conciliar el sueño a una hora adecuada.,Tomar 30-60 minutos antes de dormir. Evitar en embarazo o lactancia sin consulta médica. Puede causar somnolencia residual.,"Somnolencia, mareos, dolor de cabeza. Bien tolerado a dosis bajas.","Si tiene reacciones alérgicas, somnolencia excesiva al día siguiente o no mejora el sueño en 1-2 semanas.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Calcio + Vitamina D3,Carbonato de calcio / Colecalciferol,Suplemento mineral / Vitamínico,Previene y trata la deficiencia de calcio y vitamina D. Apoya la salud ósea en osteoporosis y personas mayores.,Tomar con alimentos para mejorar la absorción del calcio. No exceder las dosis recomendadas (riesgo de hipercalcemia con sobredosis prolongada).,"Estreñimiento, distensión abdominal. Raramente: hipercalcemia con dosis altas prolongadas.","Si tiene náuseas intensas, debilidad muscular, confusión o cálculos renales repetidos.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Hierro ferroso,Sulfato ferroso / Gluconato ferroso,Suplemento de hierro,Trata la anemia por deficiencia de hierro. Repone las reservas de hierro del organismo.,"Tomar con vitamina C o jugo de naranja para mejorar la absorción. Evitar con té, café, lácteos y antiácidos simultáneamente. Puede estreñir.","Náuseas, estreñimiento, heces de color negro (normal), malestar estomacal.","Si tiene heces negras alquitranadas (diferente a color oscuro esperado), dolor abdominal intenso o vómitos.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Ácido fólico,Ácido fólico (vitamina B9),Vitamina / Suplemento,Previene defectos del tubo neural en el embarazo. Trata la deficiencia de ácido fólico. Apoya la división celular.,Dosis de 400-800 mcg/día en embarazo. En dosis muy altas puede enmascarar deficiencia de vitamina B12.,Bien tolerado. Raramente: reacciones alérgicas.,"Si no hay mejoría de la anemia tras 1 mes de tratamiento, o si tiene síntomas neurológicos.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Vitamina B12,Cianocobalamina / Metilcobalamina,Vitamina / Suplemento,"Trata la deficiencia de vitamina B12. Apoya la función neurológica, la producción de glóbulos rojos y el ADN.","Indispensable en personas con anemia perniciosa, mayores, veganos y quienes toman metformina a largo plazo.",Bien tolerado. Inyectable: puede causar dolor leve en el sitio de aplicación.,"Si tiene hormigueo o entumecimiento en manos y pies, debilidad, deterioro de la memoria o anemia persistente.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
